rent,m2,location
3600元/月,43㎡,徐汇-康健-寿祥坊
3300元/月,47㎡,徐汇-田林-田林新苑
15000元/月,130㎡,徐汇-徐家汇-汇金广场公寓
18000元/月,167㎡,徐汇-徐家汇-徐家汇花园
14500元/月,80㎡,徐汇-斜土路-徐汇新湖云庭
4000元/月,34㎡,徐汇-田林-田林十三村
3300元/月,35㎡,徐汇-田林-田林路89弄
14800元/月,86㎡,徐汇-徐家汇-汇宁花园
7000元/月,61㎡,徐汇-斜土路-日晖新城
9500元/月,80㎡,徐汇-徐家汇-漕溪大楼
5500元/月,65㎡,徐汇-康健-康宁坊
18500元/月,170㎡,徐汇-徐家汇-兆丰帝景苑
3500元/月,43㎡,徐汇-田林-田林十四村高层
4500元/月,40㎡,徐汇-田林-田林十三村
16800元/月,105㎡,徐汇-龙华-御江廷
3800元/月,41㎡,徐汇-田林-田林十三村
26800元/月,290㎡,徐汇-建国西路-汇景苑
8000元/月,63㎡,徐汇-斜土路-嘉乐公寓
24000元/月,138㎡,徐汇-衡山路-东方巴黎
3600元/月,43㎡,徐汇-康健-长顺坊
4500元/月,40㎡,徐汇-龙华-东安五村
18000元/月,105㎡,徐汇-建国西路-永嘉路251号
9500元/月,92㎡,徐汇-斜土路-瑞金尊邸
3500元/月,44㎡,徐汇-田林-田林十三村
15000元/月,108㎡,徐汇-斜土路-远雄徐汇园
6000元/月,39㎡,徐汇-斜土路-中山新村
18000元/月,170㎡,徐汇-徐家汇-尊园
18500元/月,150㎡,徐汇-衡山路-兴国苑
3500元/月,43㎡,徐汇-田林-田林十四村高层
24000元/月,135㎡,徐汇-建国西路-嘉御庭
18500元/月,164㎡,徐汇-斜土路-远雄徐汇园
5100元/月,50㎡,徐汇-斜土路-轻工大木小区
17900元/月,160㎡,徐汇-徐家汇-兆丰帝景苑首玺
17000元/月,100㎡,徐汇-衡山路-建国西路613弄公房
5800元/月,62㎡,徐汇-康健-紫薇园(徐汇)
4500元/月,40㎡,徐汇-龙华-东安五村
5500元/月,65㎡,徐汇-康健-康宁坊
15500元/月,145㎡,徐汇-衡山路-宛平公寓
15000元/月,155㎡,徐汇-徐家汇-永新花苑
17800元/月,129㎡,徐汇-徐家汇-名仕苑
18000元/月,143㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
4000元/月,41㎡,徐汇-田林-田林六村
9200元/月,90㎡,徐汇-斜土路-日晖新城
8000元/月,63㎡,徐汇-斜土路-嘉乐公寓
15000元/月,94㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
4000元/月,47㎡,徐汇-田林-田林新苑
17000元/月,110㎡,徐汇-徐家汇-永新城
4000元/月,39㎡,徐汇-田林-锦馨苑
15000元/月,142㎡,徐汇-斜土路-丝庐花语
16000元/月,108㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
4800元/月,86㎡,徐汇-漕河泾-诚达创意园商住楼
25000元/月,120㎡,徐汇-建国西路-汾阳路64弄新里
9500元/月,86㎡,徐汇-徐家汇-青松小区
14500元/月,80㎡,徐汇-斜土路-徐汇新湖云庭
3900元/月,35㎡,徐汇-田林-田林十二村
26800元/月,290㎡,徐汇-建国西路-汇景苑
4800元/月,33㎡,徐汇-斜土路-大木桥路450弄小区
3300元/月,37㎡,徐汇-田林-田林亲家
