price_m2,price,m2,location
111713元/㎡,1690万,151.28㎡,"天际花园
徐家汇 南丹东路99弄1-22号"
33788元/㎡,510万,150.94㎡,"嘉汇国际广场商住楼
徐家汇 天钥桥路325号"
58275元/㎡,688万,118.06㎡,"四季园
徐家汇 东安路149弄1-8号"
76148元/㎡,650万,85.36㎡,"裕德路45弄小区
徐家汇 裕德路45弄"
63119元/㎡,650万,102.98㎡,"徐虹大楼
徐家汇 古宜路170弄、古宜路180弄"
61835元/㎡,500万,80.86㎡,"徐虹公寓
徐家汇 古宜路170弄、古宜路180弄"
108256元/㎡,1500万,138.56㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
111807元/㎡,1660万,148.47㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
105018元/㎡,860万,81.89㎡,"汇贤雅居
徐家汇 南丹路368弄"
105939元/㎡,1220万,115.16㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
112762元/㎡,1070万,94.89㎡,"汇贤雅居
徐家汇 南丹路368弄"
73890元/㎡,699万,94.6㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
93940元/㎡,1400万,149.03㎡,"徐汇御苑
徐家汇 东安路251弄"
98275元/㎡,1630万,165.86㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
91245元/㎡,345万,37.81㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
80594元/㎡,900万,111.67㎡,"实业公寓
徐家汇 漕溪北路28号、漕溪北路38号"
71297元/㎡,699万,98.04㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
78950元/㎡,1150万,145.66㎡,"元福大厦
徐家汇 虹桥路188号"
90690元/㎡,1280万,141.14㎡,"明华苑
徐家汇 南丹路138弄"
62133元/㎡,699万,112.5㎡,"徐虹大楼
徐家汇 古宜路170弄、古宜路180弄"
99509元/㎡,1500万,150.74㎡,"东方曼哈顿
徐家汇 虹桥路168号"
80307元/㎡,920万,114.56㎡,"交大公寓
徐家汇 虹桥路550号"
84619元/㎡,340万,40.18㎡,"柿子湾路8弄小区
徐家汇 柿子湾路8弄"
89372元/㎡,550万,61.54㎡,"南丹路128弄小区
徐家汇 南丹路128弄"
