price_m2,price,m2,location
152505元/㎡,980万,64.26㎡,龙华 尚海湾豪庭
145007元/㎡,1850万,127.58㎡,龙华 云锦路183弄
89675元/㎡,780万,86.98㎡,龙华 南宁路501弄
98380元/㎡,820万,83.35㎡,龙华 南宁路501弄
127959元/㎡,1400万,109.41㎡,龙华 宾阳路18弄、宾南路19弄
136021元/㎡,1700万,124.98㎡,龙华 尚海湾豪庭
82116元/㎡,950万,115.69㎡,龙华 南宁路501弄
77121元/㎡,508万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
125107元/㎡,1600万,127.89㎡,龙华 云锦路183弄
70983元/㎡,490万,69.03㎡,龙华 云锦路201弄1-42号
142728元/㎡,1580万,110.7㎡,龙华 云锦路183弄
69682元/㎡,630万,90.41㎡,龙华 龙漕路160弄
144924元/㎡,1462万,100.88㎡,龙华 徐汇东安路888号
66443元/㎡,238万,35.82㎡,龙华 龙华西路31弄1-51号
94161元/㎡,650万,69.03㎡,龙华 云锦路201弄1-42号
117503元/㎡,3660万,311.48㎡,龙华 瑞宁路908弄
59205元/㎡,328万,55.4㎡,龙华 漕溪四村50-78号
84745元/㎡,585万,69.03㎡,龙华 云锦路201弄1-42号
76133元/㎡,430万,56.48㎡,龙华 云锦路201弄1-42号
97727元/㎡,830万,84.93㎡,龙华 南宁路501弄
130434元/㎡,3000万,230㎡,龙华 宛平南路1188号
89820元/㎡,1200万,133.6㎡,龙华 宾阳路28弄
141668元/㎡,1550万,109.41㎡,龙华 宾阳路18弄(沪闵路路口)
77472元/㎡,510万,65.83㎡,龙华 云锦路50弄1-58号、云锦路80弄
71147元/㎡,579万,81.38㎡,龙华 丰谷路185弄1-27号
78943元/㎡,520万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
88971元/㎡,768万,86.32㎡,龙华 南宁路501弄
79275元/㎡,858万,108.23㎡,龙华 南宁路501弄
61486元/㎡,220万,35.78㎡,龙华 漕溪四村50-78号
69075元/㎡,455万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
65057元/㎡,450万,69.17㎡,龙华 云锦路201弄1-42号
159006元/㎡,3200万,201.25㎡,龙华 龙兰路388弄、龙兰路399弄
141051元/㎡,3080万,218.36㎡,龙华 徐汇东安路888号
80496元/㎡,700万,86.96㎡,龙华 南宁路501弄
142209元/㎡,1850万,130.09㎡,龙华 云锦路183弄
78362元/㎡,712万,90.86㎡,龙华 南宁路501弄
83240元/㎡,750万,90.1㎡,龙华 宾阳路50弄1-11号
64285元/㎡,450万,70㎡,龙华 云锦路185弄1-13号
52323元/㎡,420万,80.27㎡,龙华 老沪闵路581号、石龙路980弄
73836元/㎡,460万,62.3㎡,龙华 三江路301弄
118325元/㎡,780万,65.92㎡,龙华 尚海湾豪庭
90388元/㎡,1230万,136.08㎡,龙华 龙华路2518弄1-78号
84745元/㎡,280万,33.04㎡,龙华 天钥桥路905弄
69075元/㎡,455万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
61367元/㎡,630万,102.66㎡,龙华 老沪闵路581号、石龙路980弄
87890元/㎡,360万,40.96㎡,龙华 宛平南路905弄
75981元/㎡,360万,47.38㎡,龙华 三江路301弄
129856元/㎡,1250万,96.26㎡,龙华 云锦路183弄
83708元/㎡,260万,31.06㎡,龙华 天钥桥路905弄
98560元/㎡,630万,63.92㎡,龙华 南宁路501弄
61367元/㎡,630万,102.66㎡,龙华 老沪闵路581号、石龙路980弄
98811元/㎡,998万,101㎡,龙华 南宁路501弄
86336元/㎡,551万,63.82㎡,龙华 云锦路50弄1-58号、云锦路80弄
78224元/㎡,712万,91.02㎡,龙华 南宁路501弄
140425元/㎡,3300万,235㎡,龙华 瑞宁路908弄
118325元/㎡,780万,65.92㎡,龙华 尚海湾豪庭
86666元/㎡,1300万,150㎡,龙华 龙华路3208弄1-32号
88713元/㎡,540万,60.87㎡,龙华 三江路301弄
54901元/㎡,280万,51㎡,龙华 老沪闵路150弄、老沪闵路160弄
131926元/㎡,1500万,113.7㎡,龙华 云锦路183弄
102472元/㎡,1380万,134.67㎡,龙华 尚海湾豪庭
131926元/㎡,1500万,113.7㎡,龙华 云锦路183弄
159843元/㎡,3108万,194.44㎡,龙华 云锦路183弄
61486元/㎡,220万,35.78㎡,龙华 漕溪四村50-78号
68877元/㎡,860万,124.86㎡,龙华 三江路88弄
117638元/㎡,1580万,134.31㎡,龙华 宾阳路18弄(沪闵路路口)
102822元/㎡,2550万,248㎡,龙华 宾阳路18弄(沪闵路路口)
