price_m2,price,m2,location
133333元,1320万,99㎡,"徐汇天悦
康健 虹漕南路128弄"
61815元,395万,63.9㎡,"杜鹃园
康健 钦州南路917弄"
50545元,278万,55㎡,"习勤小区
康健 康健路105弄"
91237元,960万,105.22㎡,"海上名邸
康健 桂林东街28弄"
60723元,470万,77.4㎡,"茶花园
康健 浦北路959弄31-82号"
57189元,350万,61.2㎡,"寿德坊
康健 桂林西街400弄"
71723元,278万,38.76㎡,"长青坊
康健 桂林西街30弄"
82220元,930万,113.11㎡,"中海馨园
康健 钦州南路8弄1-25号"
58823元,360万,61.2㎡,"寿德坊
康健 桂林西街400弄"
53997元,310万,57.41㎡,"长海坊
康健 桂林西街9弄"
59190元,398万,67.24㎡,"桂平小区
康健 桂平小区"
56859元,310万,54.52㎡,"长丰坊
康健 桂林西街47弄"
59788元,255万,42.65㎡,"冠生园路237弄小区
康健 冠生园路237弄"
115859元,1540万,132.92㎡,"海上名邸
康健 桂林东街28弄"
55096元,220万,39.93㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
136129元,1350万,99.17㎡,"徐汇天悦
康健 虹漕南路128弄"
59677元,255万,42.73㎡,"长兴坊
康健 桂林西街15弄"
43333元,273万,63㎡,"花苑村玉兰园
康健 桂江路玉兰园77弄"
57494元,280万,48.7㎡,"康强坊
康健 康强坊"
50545元,278万,55㎡,"习勤小区
康健 康健路105弄"
64375元,339万,52.66㎡,"寿祥坊
康健 桂林西街111弄"
58181元,400万,68.75㎡,"长兴坊
康健 桂林西街15弄"
50757元,298万,58.71㎡,"紫薇园(徐汇)
康健 桂平路123弄"
105437元,1020万,96.74㎡,"漕河景苑
康健 康健路58弄"
54826元,305万,55.63㎡,"长丰坊
康健 桂林西街47弄"
97289元,1450万,149.04㎡,"中海馨园
康健 钦州南路8弄1-25号"
86317元,1880万,卧室：5个,"桂梅别墅
康健 桂平路251弄、桂平路250弄"
137508元,1370万,99.63㎡,"徐汇天悦
康健 虹漕南路128弄"
56153元,438万,78㎡,"花苑村桂花园
康健 江安路桂花园58弄"
77353元,940万,121.52㎡,"中海馨园
康健 钦州南路8弄1-25号"
72815元,375万,51.5㎡,"健安坊
康健 桂林东街150弄"
107392元,1168万,108.76㎡,"海上名邸
康健 桂林东街28弄"
52941元,360万,68㎡,"桂平小区
康健 桂平小区"
46607元,215万,46.13㎡,"长兴坊
康健 桂林西街15弄"
84172元,1020万,121.18㎡,"中海馨园
康健 钦州南路8弄1-25号"
53824元,330万,61.31㎡,"寿德坊
康健 桂林西街400弄"
57894元,550万,95㎡,"金桂苑
康健 虹漕南路99弄"
63962元,410万,64.1㎡,"健安坊
康健 桂林东街150弄"
54022元,188万,34.8㎡,"寿祥坊
康健 桂林西街111弄"
48020元,365万,76.01㎡,"古美小区
康健 古美小区"
50106元,235万,46.9㎡,"花苑村紫竹园
康健 浦北路948弄"
58770元,910万,154.84㎡,"金桂苑
康健 虹漕南路99弄"
54500元,284万,52.11㎡,"薛家宅小区
康健 冠生园路230弄"
61889元,488万,78.85㎡,"桂平小区
康健 桂平小区"
