rent,m2,location
14500元/月,136㎡,徐汇-康健-康健星辰
5500元/月,66㎡,徐汇-康健-西樱花园
6600元/月,75㎡,徐汇-康健-师大新村
15000元/月,135㎡,徐汇-康健-漕河景苑
2900元/月,46㎡,徐汇-康健-东兰小区
4700元/月,58㎡,徐汇-康健-师大新村
1800元/月,21㎡,徐汇-康健-师大新村
13000元/月,100㎡,徐汇-康健-汇樾庭
12000元/月,136㎡,徐汇-康健-中星虹漕公寓
4000元/月,44㎡,徐汇-康健-长海坊
5500元/月,64㎡,徐汇-康健-杜鹃园
8000元/月,87㎡,徐汇-康健-上海师大科技园
4850元/月,58㎡,徐汇-康健-健安坊
5200元/月,59㎡,徐汇-康健-花苑村茶花园
7200元/月,86㎡,徐汇-康健-月季园
3100元/月,41㎡,徐汇-康健-古美小区
2999元/月,53㎡,徐汇-康健-古美小区
4600元/月,44㎡,徐汇-康健-寿昌坊
5900元/月,61㎡,徐汇-康健-长兴坊
5800元/月,56㎡,徐汇-康健-师大新村
12000元/月,127㎡,徐汇-康健-百合花苑
2800元/月,47㎡,徐汇-康健-古美小区
4200元/月,44㎡,徐汇-康健-长兴坊
4300元/月,46㎡,徐汇-康健-九弄小区
4725元/月,55㎡,徐汇-康健-长丰坊
15000元/月,99㎡,徐汇-康健-漕河景苑
5500元/月,62㎡,徐汇-康健-冠生园路235弄小区
15800元/月,129㎡,徐汇-康健-中星虹漕公寓
4600元/月,54㎡,徐汇-康健-康乐小区(徐汇)
5200元/月,67㎡,徐汇-康健-花苑村杜鹃园
5500元/月,57㎡,徐汇-康健-西樱花园
5000元/月,59㎡,徐汇-康健-寿昌坊
13500元/月,102㎡,徐汇-康健-汇樾庭
5600元/月,49㎡,徐汇-康健-康乐小区(徐汇)
5500元/月,61㎡,徐汇-康健-长兴坊
17000元/月,134㎡,徐汇-康健-中星虹漕公寓
4000元/月,45㎡,徐汇-康健-九弄小区
9800元/月,128㎡,徐汇-康健-百合花苑
9800元/月,100㎡,徐汇-康健-汇樾庭
7200元/月,86㎡,徐汇-康健-月季园
2700元/月,37㎡,徐汇-康健-古美小区
5500元/月,56㎡,徐汇-康健-师大新村
4000元/月,48㎡,徐汇-康健-寿德坊
4800元/月,57㎡,徐汇-康健-寿昌坊
4200元/月,44㎡,徐汇-康健-长兴坊
5600元/月,55㎡,徐汇-康健-长丰坊
5200元/月,47㎡,徐汇-康健-康强坊
3800元/月,44㎡,徐汇-康健-长兴坊
5500元/月,61㎡,徐汇-康健-师大新村
3100元/月,41㎡,徐汇-康健-古美小区
6400元/月,70㎡,徐汇-康健-桂莘小区
11800元/月,89㎡,徐汇-康健-徐汇天悦
